# OVRO Measured IV curve
#   V(mV)      I(uA)
# --------    ------
0.22571641 4.6727
0.22858347 4.7509
0.23747556 4.8732
0.25082732 4.9604
0.26227759 5.1073
0.27222463 5.2561
0.2813817 5.399
0.28741544 5.4968
0.29724459 5.5973
0.31063596 5.6612
0.32207115 5.6405
0.33219448 5.6856
0.33832835 5.7245
0.34621917 5.7299
0.35655096 5.7112
0.36220506 5.7382
0.37853697 5.8959
0.39038478 5.9266
0.39849842 5.9774
0.40976225 6.0575
0.41733012 6.0764
0.42731401 6.1447
0.43583241 6.1927
0.45090695 6.2665
0.45650461 6.3267
0.46382675 6.3725
0.47945977 6.4119
0.4840253 6.491
0.49555577 6.5319
0.50864153 6.5991
0.51388169 6.6343
0.52602746 6.6662
0.53045776 6.7072
0.54756528 6.7616
0.55373434 6.7798
0.5649235 6.845
0.57643744 6.8368
0.58504076 6.7172
0.60323633 6.9551
0.61016816 6.9952
0.61400832 7.0304
0.63113267 7.0749
0.63995702 7.1194
0.64647793 7.1071
0.65560432 7.1504
0.66929259 7.1573
0.67531354 7.2038
0.68656186 7.2342
0.6970857 7.279
0.70411919 7.2593
0.71200117 7.2699
0.71971991 7.3177
0.73250648 7.3256
0.74551519 7.3793
0.74995378 7.3566
0.76445225 7.3575
0.77207014 7.4058
0.78660805 7.3835
0.79598667 7.4549
0.80965522 7.4734
0.81161867 7.4949
0.82551055 7.5585
0.83619627 7.5669
0.8441556 7.532
0.85943737 7.4839
0.86179606 7.5082
0.87873822 7.4834
0.88210137 7.5639
0.89364842 7.4774
0.89991387 7.4389
0.91644362 7.4214
0.92065603 7.4141
